id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
900;"Study the continuity of the function $f(x,y)=\begin{cases}
xy\cdot\frac{x^2-y^2}{x^2+y^2} & \text{if } (x,y)\neq (0,0) \\
\alpha & \text{if } (x,y) = (0,0)
\end{cases}$, where $\alpha\in \mathbb{R}$.";4;$f$ is continuous on $\mathbb{R}^{2}$ if and only if $\alpha=0$.;$f$ is continuous on $\mathbb{R}^{2}$ for each $\alpha\in \mathbb{R}$.;$f$ is continuous on $\mathbb{R}^{2}$ if $\alpha=1$.;$f$ is continuous on $\mathbb{R}^{2}\setminus \{(0,0)\}$ if and only if $\alpha=1$.;15;Real Functions of Several Variables
901;"Study the continuity of the function $f(x,y) = \begin{cases}
\frac{xy+x^2y\cdot \ln |x+y|}{x^2+y^2} & \text{if } (x,y) \neq (0,0) \\
0 & \text{if } (x,y)=(0,0)
\end{cases}$.";4;$f$ is continuous on $\mathbb{R}^{2}\setminus \{(0,0)\}$.;$f$ is continuous on $\mathbb{R}^{2}$.;$f$ is continuous with respect to $x$ on $\mathbb{R}^{2}$ and it is continuous with respect to $y$ on $\mathbb{R}^{2}\setminus \{(0,0)\}$.;$f$ is continuous with respect to $x$ on $\mathbb{R}^{2}\setminus \{(0,0)\}$ and it is continuous with respect to $y$ on $\mathbb{R}^{2}$.;15;Real Functions of Several Variables
902;"Consider the function $f(x,y)=\dfrac{x-y^{4}}{x^{3}-y^{4}}$, where $y^{4} \neq x^{3}$.

Study the limits
$\lim\limits_{x\rightarrow 1}\Big [\lim\limits_{y\rightarrow 1}f(x,y)\Big]$, $\lim\limits_{y\rightarrow 1}\Big [\lim\limits_{x\rightarrow 1}f(x,y)\Big]$ and $\lim\limits_{ (x,y)\rightarrow (1,1)}f(x,y).$";1;"$\lim\limits_{x\rightarrow 1}\Big [\lim\limits_{y\rightarrow 1}f(x,y)\Big]=\frac{1}{3}$, $\lim\limits_{y\rightarrow 1}\Big [\lim\limits_{x\rightarrow 1}f(x,y)\Big]=1$, but the limit
$\lim\limits_{ (x,y)\rightarrow (1,1)}f(x,y)$ does not exist.";"$\lim\limits_{x\rightarrow 1}\Big [\lim\limits_{y\rightarrow 1}f(x,y)\Big]=\lim\limits_{y\rightarrow 1}\Big [\lim\limits_{x\rightarrow 1}f(x,y)\Big]=1$, but the limit
$\lim\limits_{ (x,y)\rightarrow (1,1)}f(x,y)$ does not exist.";$\lim\limits_{x\rightarrow 1}\Big [\lim\limits_{y\rightarrow 1}f(x,y)\Big]=\lim\limits_{y\rightarrow 1}\Big [\lim\limits_{x\rightarrow 1}f(x,y)\Big]=\lim\limits_{ (x,y)\rightarrow (1,1)}f(x,y)=1.$; $\lim\limits_{x\rightarrow 1}\Big [\lim\limits_{y\rightarrow 1}f(x,y)\Big]=\frac{1}{3}$, $\lim\limits_{y\rightarrow 1}\Big [\lim\limits_{x\rightarrow 1}f(x,y)\Big]=\lim\limits_{ (x,y)\rightarrow (1,1)}f(x,y)=1.$;15;Real Functions of Several Variables
903;Find the integral curve which satisfies the equation $x+xx'=tx-x'$ with initial condition $x(2)=1$.;2;The integral curve that satisfies the initial condition is the curve $t-\frac{1}{2}t^{2}+x+\ln|x|=1$.;The integral curve that satisfies the initial condition is the curve $t-\frac{1}{2}t^{2}+x+\ln|x|=0$.;The integral curve that satisfies the initial condition is the curve $t-t^{2}+x+\ln|x|=1$.;The integral curve that satisfies the initial condition is the curve $t+\frac{1}{2}t^{2}+x-\ln|x|=0$.;16;Differential Equations
904;Find the integral curve which satisfies the equation $tx'-x=-2t^2x^2$ with initial condition $x(1)=1$.;1;The integral curve that satisfies the initial condition is the curve $x(2t^3+1)-3t=0$.;The integral curve that satisfies the initial condition is the curve $x(2t^3+3)-t=0$.;The integral curve that satisfies the initial condition is the curve $\frac{x}{2t^3+1}-3t=0$.;The integral curve that satisfies the initial condition is the curve $x=\frac{2t^3+1}{3t}$.;16;Differential Equations
905;Find the integral curve which satisfies the equation $x^2dt-(2tx+3)dx=0$ with initial condition $x(1)=2$.;1;$t = \frac{3}{8}x^2-x^{-1}$.;$t = \frac{3}{8}x^2+x$.;$t = \frac{1}{8}x^2-x^{-1}$.;$t = \frac{3}{2}x^2+x^{-1}$.;16;Differential Equations
906;Find the general solution of the differential equation $x''+2x'-3x=2te^{-3t}+(t+1)e^t$.;2;$x(t) = C_1e^{-3t}+C_2e^{t}-\frac{1}{8}(2t^{2}+t)e^{-3t}+\frac{1}{16}(2t^{2}+3t)e^{t}$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1e^{3t}+C_2e^{-t}-\frac{1}{8}(2t^{2}+t)e^{3t}+\frac{1}{16}(2t^2+3t)e^{-t}$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1e^{-3t}-C_2e^t+\frac{1}{8}(t^2+2t)e^{-3t}-\frac{1}{16}(2t^2+3t)e^t$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1e^{-3t}+C_2e^t-\frac{1}{2}(2t^2+t)e^{-3t}+\frac{1}{4}(2t^2+3t)e^t$, where $C_1, C_2 \in \mathbb{R}$.;16;Differential Equations
907;Find the general solution of the differential equation $x''+x=2t\cdot\cos(t)\cos(2t)$.;1;$x(t) = C_1\cos(t)+C_2\sin (t)+\frac{1}{4}t\cos(t)+\frac{1}{4}t^2\sin(t)-\frac{1}{8}t\cos(3t)+\frac{3}{32}\sin(3t)$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1\cos (t)+C_2\sin(t)+\frac{1}{4}t^2\cos(t)+\frac{1}{4}t\sin(t)-\frac{1}{8}t\cos(3t)+\frac{3}{32}\sin(3t)$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1\cos(t)+C_2\sin(t)+\frac{1}{2}t\cos(t)+\frac{1}{2}t^2\sin(t)-\frac{1}{4}t\cos(3t)+\frac{3}{8}\sin(3t)$, where $C_1, C_2 \in \mathbb{R}$.;$x(t) = C_1\cos(t)+C_2\sin(t)+\frac{1}{4}t\cos(t)+\frac{1}{4}t^2\sin(t)-t\cos(3t)+\sin(3t)$, where $C_1, C_2 \in \mathbb{R}$.;16;Differential Equations
908;The gradient $\nabla f$ for $f(x,y)=\sqrt{1-x²-y²}$ is:;5;"$\nabla
f(x,y)=\displaystyle \left[ -  \dfrac{x}{\sqrt{1-x^2-y^2}}, -\dfrac{y}{\sqrt{1-x^2-y^2}}  \right] $";$\nabla f(x,y)=\displaystyle \left[ -  \dfrac{x}{\sqrt{1-x^2-y^2}}, \dfrac{x}{\sqrt{1-x^2-y^2}}  \right]$;$\nabla f(x,y)=\displaystyle \left[ -  \dfrac{2x}{\sqrt{1-x^2-y^2}}, -\dfrac{2x}{\sqrt{1-x^2-y^2}}  \right]$;$\nabla f(x,y)=\displaystyle \left[ -  \dfrac{x}{{1-x^2-y^2}}, -\dfrac{x}{{1-x^2-y^2}} \right$;4;Differentiation
909;The differentiable function $f(x,y,z)=\ln(x³+y³+z³-3xyz)$ satisfies the equation;2;$\dfrac{?f}{?x}+\dfrac{?f}{?y}+\dfrac{?f}{?z}=\dfrac{3}{x+y+z}$;"$\frac{\partial f}{\partial x}+\frac{\partial f}{\partial y}-\frac{\partial f%
}{\partial z}=\frac{3}{x+y+z}$";"$\frac{\partial f}{\partial x}+\frac{\partial f}{\partial y}+\frac{\partial f%
}{\partial z}=\frac{1}{x+y+z}$";"$\frac{\partial f}{\partial x}+\frac{\partial f}{\partial y}+\frac{\partial f%
}{\partial z}=\frac{2}{x+y+z}$";4;Differentiation
910;The point $P=(x,y,z)$ on the plane $2x+y-z-5=0$ closest to the origin is:;3;$\left( \dfrac{5}{3},\dfrac{5}{6},-\dfrac{5}{6}\right)$.;$\left(- \dfrac{5}{3},\dfrac{5}{6},-\dfrac{1}{2}\right)$.;$\left( \dfrac{5}{3},\dfrac{5}{6},\dfrac{1}{2}\right)$.;No solution.;12;Optimization
911;" Let be $f:\mathbb{R}^{2}\rightarrow \mathbb{R}$, $%
f(x,y)=x^{3}+3xy^{2}+ax+by+c.$ Find the real parameters $a,b,c$ such $%
f(-2,-1)=30$ is a local maximum.";3;$a=-15,\, b=-12,\, c=2$;$a=15,\, b=12,\, c=-2$;$a=-15,\, b=-12,\, c=-2$;no solution;12;Optimization
912;"Find $\dfrac{\partial F}{\partial x},$ $\dfrac{\partial F}{\partial
y}$ and $dF$ for $F(x,y)=f(u(x,y),v(x,y))$, where $f(u,v)=\arctan \left(\dfrac{u}{v}\right),$ $%
u(x,y)=x\sin (y)$ and $v(x,y)=x\cos (y)$.";1;$\dfrac{\partial F}{\partial x}=0,\dfrac{\partial F}{\partial y}=1,dF=dy$;$\dfrac{\partial F}{\partial x}=1,\dfrac{\partial F}{\partial y}=0,dF=dx$;$\dfrac{\partial F}{\partial x}=1,\dfrac{\partial F}{\partial y}=1,dF=dx+dy$;$\dfrac{\partial F}{\partial x}=x,\dfrac{\partial F}{\partial y}=0,dF=xdx$;4;Differentiation
913;"For which values of $m\in\mathbb{R}$ does the following linear system has a solution?
$$\begin{cases}
x & - & my & + & m^{2}z & = & m \\
mx & - & m^{2}y & + & mz & = & 1 \\
mx & + & y & - & m^{3}z & = & -1
\end{cases}$$";1;For $m \in \mathbb{R} \setminus \{-1,\,0,\,1\}$.;For $m \neq 0$.;For $m \in \mathbb{R} \setminus \{-1,\,1\}$.;For $m \in \{-1,\,0,\,1\}$.;18;Linear Algebra
914;"For which $\left(a,\,b\right) \in \mathbb{R}^2$ does the following linear system has infinitely many solutions?
$$\begin{cases}
x & + & by & + & az & = & 1 \\
x & + & aby & + & z & = & b \\
ax & + & by & + & z & = & 1
\end{cases}$$";1;For $(a,b)=(1,1)$ and for $(a,b)=(-2,-2)$.;For $(a,b)=(1,1)$.;For $(a,b)=(-2,-2)$.;There is no pair $(a,b)\in\mathbb{R}^{2}$ for which the linear system has infinitely many solutions.;18;Linear Algebra
915;"For each $m\in\mathbb{R}$, describe the solutions of the linear system
$$\begin{cases}
3x & + & y & - & z & = & 1 \\
x & - & 2y & - & z & = & m \\
x & + & y & - & z & = & 1
\end{cases}$$
";2;"For $m=-2$, the linear system has infinitely many solutions, which are of the form $\left(0,\,y,\,y-1\right)$ for every $y\in\mathbb{R}$.
For $m \neq -2$, the linear system has no solutions.";The linear system has no solution for every $m\in\mathbb{R}$.;"For $m \in \{-2,\,0\}$, the linear system has infinitely many solutions, which are of the form $\left(0,\,y,\,y-1\right)$ for every $y\in\mathbb{R}$.
For $m=0$, the linear system has a unique solution, which is $\left(0,\,1,\,1\right)$.
For $m \not\in \{-2,\,0\}$, the linear system has no solutions.";The linear system has a unique solution for each $m\in\mathbb{R}$, which is $\left(0,\,m,\,m-1\right)$.;18;Linear Algebra
916;"For every $m\in\mathbb{R}$, consider the line $r$ of equation $x+my=-3$ and the line $s$ of equation $mx+4y=6$.
Describe the mutual position of $r$ and $s$ with respect to the value of $m$.";1;The lines $r$ and $s$ are equal if $m=-2$, parallel if $m=2$, and secant otherwise.;The lines $r$ and $s$ are equal if $m=2$, parallel if $m=-2$, and secant otherwise.;The lines $r$ and $s$ are secant for every $m$.;The lines $r$ and $s$ are parallel for every $m$.;18;Linear Algebra
917;"Describe the solutions of the following linear system:
$$\begin{cases}
x & + & 2y & - & 3z & = & 4 \\
x & + & 3y & - & z & = & 11 \\
2x & + & 5y & - & 5z & = & 13 \\
x & + & 4y & + & z & = & 18
\end{cases}$$";5;The linear system has $\left(4,\,3,\,2\right)$ as its unique solution.;The linear system has $\left(4,\,2,\,3\right)$ as its unique solution.;The linear system has no solutions.;The linear system has infinitely many solutions, which are of the form $\left(2z,\,z+1,\,z\right)$ for each $z\in\mathbb{R}$.;18;Linear Algebra
918;What is the domain of the function $f$ defined by $f(x)=\log(\log x)$?;1;$(1,+\infty)$;$[1,+\infty)$;$[0,+\infty)$;$(0,+\infty)$;3;Real Functions of a Single Variable
919;Determine which of the following functions is not periodic.;3;$f(x)=\sin(x^2)$;$f(x)=1$;$f(x)=\cos^2(x)$;$f(x)=\log(2+\sin x)$;3;Real Functions of a Single Variable
920;Determine which of the following functions is nondecreasing.;1;$f(x)=x^3$;$f(x)=x^2$;$f(x)=x^{-2}$;$f(x)=x^{-3}$;3;Real Functions of a Single Variable
921;Determine which of the following functions is nonincreasing.;1;$f(x)=2^{-x}$;$f(x)=2^{x}$;$f(x)=x^{-2}$;$f(x)=x^{2}$;3;Real Functions of a Single Variable
922;Determine which of the following functions is well-defined on the whole real line.;1;$f(x)=\log(1+x^2)$;$f(x)=\log(x^2)$;$f(x)=\log(1-x^2)$;$f(x)=(\log x)^2$;3;Real Functions of a Single Variable
923;Determine which of the following functions is injective.;1;$f(x)=x^3$;$f(x)=x^2$;$f(x)=1$;$f(x)=\sin x$;3;Real Functions of a Single Variable
924;Consider a connected planar graph with $8$ vertices, each of degree $3$. Into how many regions (faces) is the plane divided by a planar representation of such graph?;3;$6$;$3$;$8$;$1$;22;Graph Theory
925;Determine which of the following functions  $f\colon \mathbb{R}\to\mathbb{R}$ is surjective.;1;$f(x)=x^3$;$f(x)=x^2$;$f(x)=1$;$f(x)=\sin (x)$;3;Real Functions of a Single Variable
926;Determine which of the following functions is injective.;3;$f(x)=\sin \left(\arcsin (x) \right)$;$f(x)=\arcsin \left(\sin (x) \right)$;$f(x)=\arcsin \left(\cos (x) \right)$;$f(x)=\cos \left(\arcsin (x) \right)$;3;Real Functions of a Single Variable
927;Determine which of the following real-valued functions is surjective.;2;$f(x)=\tan(x^2)$;$f(x)=(\tan x)^2$;$f(x)=3^x-2^x$;$f(x)=3^{x}+2^{-x}$;3;Real Functions of a Single Variable
928;"Let $f\colon\mathbb{R}\to\mathbb{R}$ be the function defined by
\[
f(x)=\arcsin(\sin x),\qquad x\in\mathbb{R}.
\]
Determine which of the following statements is false.";2;$f(x)=x$ for every $x\in \mathbb R$.;$f$ is bounded.;$f$ is periodic.;$f$ is continuous.;3;Real Functions of a Single Variable
929;The number of vertices, $|V|$, edges, $|E|$, and faces, $|F|$, of the attached graph is;1;$|V|=5$, $|E|=7$ and $|F|=4$.;$|V|=5$, $|E|=6$ and $|F|=7$.;$|V|=5$, $|E|=5$ and $|F|=5$.;$|V|=5$, $|E|=5$ and $|F|=3$.;22;Graph Theory
930;Which of the attached graphs are planar?;2;$G_1$, $G_2$ and $G_3$.;All graphs.;$G_1$ and $G_3$.;$G_2$ and $G_4$.;22;Graph Theory
933;For which $m$ and $n$ the graph $K_{m,n}$ is not planar?;2;$n \geq 3$ and $m \geq 3$.;$n=m$.;$n \geq 3$.;$m \geq 3$.;22;Graph Theory
934;Consider the graphs in the image. About the chromatic number, we can say that:;4;$\chi(G_1)=\chi(G_3)=3$ and $\chi(G_2)=\chi(G_4)=4$.;$\chi(G_1)=\chi(G_3)=4$ and $\chi(G_2)=\chi(G_4)=3$.;All graphs have chromatic number $3$.;All graphs have chromatic number $4$.;22;Graph Theory
935;The chromatic number of the graph $K_n$ is:;4;$n$.;$n-1$.;$\frac{n(n-1)}{2}$.;$2$.;22;Graph Theory
936;The chromatic number of the graph $K_{m,n}$ is:;4;$2$.;$n \times m$.;$n+m$.;$m$.;22;Graph Theory
937;Consider the following statements about graph $G$:;4;The statement $i.$ is true and the statement $ii.$ is false.;The statement $i.$ is false and the statement $ii.$ is true.;The statements are both true.;The statements are both false.;22;Graph Theory
938;Which of the following sentences is true?;4;A planar graph with chromatic number $2$ must be Hamiltonian.;A Hamiltonian graph with chromatic number $2$ must be planar.;A graph which is both Hamiltonian and Eulerian and has chromatic number $2$ must be planar.;A graph which is both Hamiltonian and Eulerian must have chromatic number less than $6$.;22;Graph Theory
939;The graph $T$ is a tree. Consider the following statements:;4;All statements are true.;Only statements $i.$ and $ii.$ are true.;Only statements $ii.$ and $iii.$ are true.;All statements are false.;22;Graph Theory
940;Consider the following weighted graph. We can say that:;1;The path $af$ is shorter than $ag$.;The path $cf$ is shorter than $bg$.;The path $cz$ is shorter than $bz$.;The path $dg$ is shorter than $ef$.;22;Graph Theory
941;Consider the following weighted graph and indicate the shortest path between $a$ and $z$.;3;$acdgz$.;$acegz$.;$abdfz$.;$abdegz$.;22;Graph Theory
942;How many spanning trees has the following graph?;3;$8$.;$7$.;$2$.;$1$.;22;Graph Theory
943;A spanning tree of the the following connected graph is the set of edges and terminal vertices:;3;$v_1v_5$, $v_2v_5$, $v_3v_5$, $v_4v_5$ and $v_6v_5$.;$v_1v_2$, $v_2v_3$, $v_3v_4$, $v_4v_5$, $v_5v_6$ and $v_6v_1$.;$v_1v_2$, $v_1v_5$, $v_1v_6$, $v_4v_3$ and $v_4v_5$.;$v_3v_2$, $v_3v_5$, $v_3v_4$ and $v_4v_5$.;22;Graph Theory
944;Consider the following weighted graph. Applying the Kruskal algorithm to find the minimum spanning tree starting at vertex $a$, the order in which edges are added to form a tree is:;3;"$\{d,\;f\}$, $\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;e\}$.";"$\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;f\}$, $\{d,\;e\}$.";"$\{a,\;b\}$, $\{b,\;c\}$, $\{c,\;d\}$, $\{d,\;e\}$, $\{e,\;f\}$.";"$\{a,\;c\}$, $\{b,\;c\}$, $\{a,\;c\}$, $\{c,\;e\}$, $\{d,\;f\}$.";22;Graph Theory
945;Consider the following weighted graph. Applying the Prim algorithm to find the minimum spanning tree starting at vertex $a$, the order in which edges are added to form a tree is:;3;"$\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;f\}$, $\{d,\;e\}$.";"$\{a,\;b\}$, $\{b,\;c\}$, $\{c,\;d\}$, $\{d,\;e\}$, $\{e,\;f\}$.";"$\{a,\;c\}$, $\{b,\;c\}$, $\{a,\;c\}$, $\{c,\;e\}$, $\{d,\;f\}$.";"$\{d,\;f\}$, $\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;e\}$.";22;Graph Theory
946;The Dijkstra algorithm determines;3;the shortest path between two given vertices in a weighted connected graph.;the minimum spanning tree.;a spanning tree.;all paths between two given vertices.;22;Graph Theory
947;"The table shows the distances between $5$ European cities.
Considering the graph $K_5$ where the vertices are those $5$ European cities, the corresponding minimum spanning tree is:";2;"$\{LT,\;RO\}$, $\{PT,\;IT\}$,$\{IT,\;LT\}$, $\{PT,\;IE\}$.";"$\{LT,\;RO\}$, $\{PT,\;IT\}$,$\{IT,\;LT\}$.";"$\{PT,\;IT\}$, $\{IT,\;RO\}$, $\{RO,\;LT\}$, $\{LT,\;IE\}$.";"$\{IT,\;RO\}$, $\{PT,\;IT\}$, $\{PT,\;IE\}$ $\{PT,\;RO\}$.";22;Graph Theory
948;"Solve the linear system
$$\begin{cases}
x & + & y & + & z & = & 1 \\
3x & - & y & - & z & = & 4 \\
x & + & 5y & + & 5z & = & -1
\end{cases}$$";5;The system has no solution.;The system has $\left(0,\,0,\,1\right)$ as its unique solution.;The system has $\left(x,\,x,\,-2x+1\right)$ as solution for every $x\in\mathbb{R}$. ;The system has $\left(\frac{5}{4},\,y,\,z\right)$ as solution for every $y,z\in\mathbb{R}$.;18;Linear Algebra
949;"How many solutions does the following linear system has?
$$\begin{cases}
x & + & 2y & = & 4 \\
x & - & 2y & = & 0 \\
4x & + & 3y & = & 12
\end{cases}$$";4;The system has no solutions.;The system has $\left(2,\,1\right)$ as its unique solution.;The system has $\left(\frac{24}{11},\,\frac{12}{11}\right)$ as its unique solution.;The system has an infinite number of solutions of the form $\left(2y,\,y\right)$ for every $y\in\mathbb{R}$.;18;Linear Algebra
950;"Solve the following linear system:
$$\begin{cases}
x & + & 3y & - & z & + & w & = & -2 \\
3x & - & y & - & 3z & - & 4w & = & 1 \\
2x & + & 3y & - & 5z & + & w & = & -3
\end{cases}$$";1;The solutions of the system are of the form $\bigg(\frac{22w+7}{15},\,\frac{-7w-7}{10},\,\frac{11w+11}{30}\bigg)$ for every $w\in\mathbb{R}$.;The system has no solutions.;The system has $\left(1,\,2,\,6,\,-2\right)$ as its unique solution.;The system has $\left(3w,\,w-1,\,2w,\,w\right)$ as solution for every $w\in\mathbb{R}$.;18;Linear Algebra
951;"Solve the following linear system:
$$\begin{cases}
x & + & 2y & - & 3z & + & w & = & -2 \\
3x & - & y & - & 2z & - & 4w & = & 1 \\
2x & + & 3y & - & 5z & + & w & = & -3 \\
4x & + & y & - & 5z & - & 3w & = & -1
\end{cases}$$";3;The system has $\left(z+w,\,z-w-1,\,z,\,w\right)$ as solution for all $z,w\in\mathbb{R}$.;The system has no solutions.;The system has $\left(1,\,2,\,2,\,-1\right)$ as its unique solution.;The system has $\left(x,\,y,\,x-y,\,x+y+1\right)$ as solution for all $x,y\in\mathbb{R}$.;18;Linear Algebra
952;"Solve the following linear system:
$$\begin{cases}
x & + & 2y & - & 3z & + & w & = & -2 \\
3x & - & y & - & 2z & - & 4w & = & 1 \\
2x & + & 3y & - & 5z & + & w & = & -3 \\
x & + & y & - & z & + & w & = & -2
\end{cases}$$
";4;The system has no solutions.;The system has $\left(z+w,\,z-w-1,\,z,\,w\right)$ as solution for all $z,w\in\mathbb{R}$.;The system has $\left(1,\,2,\,2,\,1\right)$ as its unique solution.;The system has $\left(x,\,y,\,x+y,\,x-y-1\right)$ as solution for all $x,y\in\mathbb{R}$.;18;Linear Algebra
955;Each optimization problem must have certain parameters called;3;decision variables.;linear variables.;dummy variables.;none of the above.;12;Optimization
956;Maximization of $f(x)$ is equivalent to minimization of;3;$-f(x)$.;$\dfrac{1}{f(x)}$.;$\displaystyle \sqrt{f(x)}$.;$e^{f(x)}$.;12;Optimization
957;Which of the following is not a requirement for a goal programming problem?;3;A single objective function.;Prioritization of goals.;Linear constraints.;Linear objective function.;12;Optimization
958;To develop a stock portfolio wherein the objective is to maximize return and minimize risk, you would have to use;3;goal programming.;zero-one integer programming.;mixed-integer programming.;nonlinear programming.;12;Optimization
959;"The problem 

\[
\begin{array}{ll}
\text{Maximize} & 7x_{1} + 3x_{2}\\
\text{subject to} & 5x_{1}+7x_{2}\leq 27\\
& 4x_{1}+x_{2} \leq 14\\
& 3x_{1}-2x_{2}\leq 9\\
& x_{1},x_{2} \geq 0 \\
& x_1 \text{is integer}
\end{array}
\]

represents:";1;none of the above.;integer programming problem.;nonlinear programming problem.;multiple-objective programming problem.;12;Optimization
960;"The problem 

\[
\begin{array}{ll}
\text{Maximize} & 7x_{1}x_{2}+ 3x_{2}\\
\text{subject to} & 5x_{1}+7x_{2}\leq 27\\
& 4x_{1}+x_{2} \leq 14\\
& 3x_{1}-2x_{2}\leq 9\\
 & x_{1},x_{2} \geq 0 \\
\end{array}
\]

represents";2;a nonlinear programming problem.;an integer programming problem.;a multiple-objective programming problem.;none of the other sentences.;12;Optimization
961;For a rectangle matrix, when the number of rows is less than number of columns, the rank of this matrix can be:;1;less than or equal $m$.;less than or equal $n$.;more than or equal $m$.;none of the above.;18;Linear Algebra
962;Solving an integer programming problem by rounding off answers obtained by solving it as a linear programming problem (using simplex), it is possible to conclude that;1;the value of the objective function for a maximization problem will likely be less than the simplex solution.;the values of decision variables obtained by rounding off are always very close to the optimal values.;the value of the objective function for a minimization problem will likely be less than the simplex solution.;all constraints are satisfied exactly.;12;Optimization
963;Which of the following constraints is not linear?;2;$2xy + x \geq 15$;$7x - 6y \leq 45$;$x + y + 3z = 35$;$2x + 10y \geq 60$;12;Optimization
964;"Consider the following problem

\[
\begin{array}{ll}
\text{Min} & 7yx+e^x\\
\text{s.t.} & 5x+4y \leq 2\\
& 4x^2+y \leq 14\\
\end{array}
\]

It is possible to say that";2;the nonlinear problem has one linear constraint.;it is a linear programming problem.;all the constraints are nonlinear.;is a multiobjective programming problem.;12;Optimization
965;"The Childfair Company has three plants producing child push chairs that are to be shipped to four distribution centers. Plants $1$, $2$, and $3$ produce $12$, $17$, and $11$ shipments per month, respectively. Each distribution center needs to receive $10$ shipments per month. The distance (in miles) from each plant ($i$) to the respective distributing centers ($j$) is given below:

\[
\begin{array}{c|c|c|c|c}
\text{Plant Dist. Center} & \text{1} & \text{2} & \text{3}  & \text{4}  \\
\text{1} & 800  & 1300 &  400 & 700\\
\text{2} & 1100 & 1400 &  600 & 1000 \\
\text{3} & 600  & 1200 &  800 & 900\\
\end{array}
\]	

The freight cost for each shipment is $100.50$ per mile. Use the transportation simplex method to determine how much should be shipped from each plant to each of the distribution centers each month, to minimize the total shipping cost. Use the minimum cost rule to obtain an initial basic feasible solution.

Choose the right answer:";1;$x_{13} = 2, x_{14} = 10, x_{22} = 9, x_{23} = 8, x_{31} = 10, x_{32}= 1 \text{, other } x_{ij}=0$;$x_{11} = 10, x_{13} = 2, x_{22} = 10, x_{24} = 7, x_{33} = 8, x_{34}= 3 \text{, other } x_{ij}=0$;$x_{11} = 10, x_{13} = 2, x_{22} = 9,  x_{24}= 8, x_{32}= 1, x_{33}= 8 \text{, other } x_{ij}=0$ ;$x_{12} = 2, x_{13} = 10, x_{22} = 8, x_{24} = 9, x_{31}= 10, x_{34}= 1 \text{, other } x_{ij}=0$ ;12;Optimization
967;Which graph represents the domain of the function $f(x,y)=\sqrt{-1+x^2+y^2}+\log(16-y^2-x^2)$? ;1;$B$.;$A$.;$C$.;$D$.;15;Real Functions of Several Variables
968;Which graph represents the domain of the function $f(x,y) = \log(x+y)$?;3;$A$.;$B$.;$C$.;$D$.;15;Real Functions of Several Variables
969;Which graph represents the domain of the function $f(x,y) = \dfrac{\sqrt{3x+y+2}}{x-1}$?;1;$C$.;$B$.;$A$.;$D$.;15;Real Functions of Several Variables
970; Identify the graph of the function $f(x,y) = |xy|$.;4;$B$.;$A$.;$C$.;$D$.;15;Real Functions of Several Variables
971;Identify the graph of the function $f(x,y) = -\sin(|x|+y)$.;2;$D$.;$B$.;$C$.;$A$.;15;Real Functions of Several Variables
972;Identify the graph of the function $f(x,y) = |2x+y^2|$.;5;$C$.;$B$.;$A$.;$D$.;15;Real Functions of Several Variables
973;Find the contour map of $f(x,y) = |sin(x)+sin(y)|$.;2;$D$.;$C$.;$B$.;$A$.;15;Real Functions of Several Variables
974;"Match the following functions (labeled $I - III$) with its contour map (labeled $A - C$):

$(I) f(x,y) = \cos(x + y)$
$(II) f(x,y) = (x^2+y^2) \cdot \sin(x)$
$(III) f(x,y) = \sin(x) \cdot \sin(y)$";2;$I \rightarrow B, II \rightarrow C, III \rightarrow A$.;$I \rightarrow A, II \rightarrow B, III \rightarrow C$.;$I \rightarrow A, II \rightarrow C, III \rightarrow B$.;$I \rightarrow C, II \rightarrow A, III \rightarrow A$.;15;Real Functions of Several Variables
975;"Match the following functions (labeled $I - III$) with its contour map (labeled $A - C$):

$(I) f(x,y) = \cos(x)-\sin(y)$
$(II) f(x,y) = \sin(\sqrt{x^2+y^2})$
$(III) f(x,y) = (1+x^2+y^2)\cos(x)$";2;$I \rightarrow C, II \rightarrow B, III \rightarrow A$.;$I \rightarrow A, II \rightarrow B, III \rightarrow C$.;$I \rightarrow B, II \rightarrow A, III \rightarrow C$.;$I \rightarrow C, II \rightarrow A, III \rightarrow B$.;15;Real Functions of Several Variables
976;"Match the following functions (labeled $I - III$) with its graph (labeled $A - C$):

$(I) f(x,y) = \sin(x)\sin(y)$
$(II) f(x,y) = \sin(x)(x^2+y^2)$
$(III) f(x,y) = \sin(\sqrt{x^2+y^2})$";5;$I \rightarrow A, II \rightarrow B, III \rightarrow C$.;$I \rightarrow C, II \rightarrow A, III \rightarrow B$.;$I \rightarrow A, II \rightarrow C, III \rightarrow B$.;$I \rightarrow C, II \rightarrow B, III \rightarrow A$.;15;Real Functions of Several Variables
